step;game1;game2;avg_loss;per_ab1;per_ab2;avg_l;min_l;max_l;max_weight;sum_total;memory;fr;epsilon;avglossma
12400;49604;157;1,51345;0,6;0,4;0,136;0,063;1;25,76;11544,3;59520;13,7;0,99;1,2335212
12500;50004;158;1,45558;0,6;0,4;0,136;0,063;1;25,76;11643,3;59904;13,8;0,99;1,2325533
12600;50404;159;1,42812;0,6;0,4;0,136;0,063;1;25,76;11705,8;60288;13,1;0,99;1,2312016
12700;50804;160;1,5219;0,6;0,4;0,136;0,063;1;25,76;11791,6;60672;13,4;0,99;1,2301172
12800;51204;162;1,54234;0,6;0,4;0,136;0,063;1;25,76;11861,7;61056;13,9;0,99;1,2296613
12900;51604;162;1,5202;0,6;0,4;0,136;0,063;1;25,76;12035,6;61568;13,3;0,99;1,2272369
13000;52004;163;1,43891;0,6;0,4;0,136;0,063;1;25,76;12112,3;61952;12,1;0,99;1,2260256
13100;52404;164;1,39299;0,6;0,4;0,136;0,063;1;25,76;12213,3;62336;11,7;0,99;1,2263848
13200;52804;165;1,43398;0,6;0,4;0,136;0,063;1;25,76;12254,4;62720;12,1;0,99;1,2254751
13300;53204;167;1,4461;0,6;0,4;0,136;0,063;1;25,76;12320,5;63104;11,8;0,99;1,2257457
13400;53604;168;1,46983;0,6;0,4;0,136;0,063;1;25,76;12386,3;63488;12,7;0,99;1,2257973
13500;54004;169;1,46419;0,6;0,4;0,136;0,063;1;25,76;12445,8;63872;11,9;0,99;1,2245387
13600;54404;170;1,54893;0,6;0,4;0,136;0,063;1;25,76;12564,2;64256;11,2;0,99;1,2237634
13700;54804;171;1,30127;0,6;0,4;0,136;0,063;1;25,76;12598;64768;11,2;0,99;1,2207689
13800;55204;172;1,31844;0,6;0,4;0,136;0,063;1;25,76;12634,4;65152;12;0,99;1,2219479
13900;55604;173;1,2867;0,6;0,4;0,136;0,063;1;25,76;12659,1;65536;12,2;0,99;1,2215331
14000;56004;174;1,29241;0,6;0,4;0,136;0,063;1;25,76;12734,7;65920;11,3;0,99;1,2210787
14100;56404;175;1,44663;0,6;0,4;0,136;0,063;1;25,76;12762,4;66304;12,5;0,99;1,2237661
14200;56804;176;1,48598;0,6;0,4;0,136;0,063;1;25,76;12818,8;66688;11,4;0,99;1,223767
14300;57204;178;1,26959;0,6;0,4;0,136;0,063;1;25,76;12838,2;67072;12,8;0,99;1,2222554
14400;57604;178;1,31683;0,6;0,4;0,136;0,063;1;25,76;12939;67456;11,4;0,99;1,2225352
14500;58004;179;1,28345;0,6;0,4;0,136;0,063;1;25,76;12953,5;67840;12,2;0,99;1,2222656
14600;58404;181;1,28813;0,6;0,4;0,136;0,063;1;25,76;13049;68352;11,5;0,99;1,2229632
14700;58804;182;1,39357;0,6;0,4;0,136;0,063;1;25,76;13104,1;68736;11,9;0,99;1,2248281
14800;59204;183;1,25341;0,6;0,4;0,136;0,063;1;25,76;13165,6;69120;11,4;0,99;1,223214
14900;59604;184;1,32441;0,6;0,4;0,136;0,063;1;25,76;13193,7;69504;11,8;0,99;1,2251621
15000;60004;185;1,17231;0,6;0,4;0,136;0,063;1;25,76;13207,5;69888;11,7;0,99;1,2252899
15100;60404;186;1,1631;0,6;0,4;0,189;0,063;1;33,595;13216,4;70272;12,4;0,99;1,2274542
15200;60804;187;1,14664;0,6;0,4;0,189;0,063;1;33,595;13305,7;70656;12,4;0,99;1,2292197
15300;61204;188;1,20992;0,6;0,4;0,189;0,063;1;33,595;13316,6;71040;11,1;0,99;1,2304851
15400;61604;189;1,2234;0,6;0,4;0,189;0,063;1;33,595;13418,6;71552;12,8;0,99;1,2317568
15500;62004;191;1,17328;0,6;0,4;0,189;0,063;1;33,595;13434;71936;11,7;0,99;1,2317197
15600;62404;191;1,11081;0,6;0,4;0,189;0,063;1;33,595;13486,7;72320;12,4;0,99;1,2321552
15700;62804;192;1,14;0,6;0,4;0,189;0,063;1;33,595;13536;72704;12,5;0,99;1,2324476
15800;63204;193;1,01204;0,6;0,4;0,189;0,063;1;33,595;13551,9;73088;11,6;0,99;1,234302
15900;63604;195;1,13451;0,6;0,4;0,189;0,063;1;33,595;13554,2;73472;12,7;0,99;1,236002
16000;64004;196;1,04425;0,6;0,4;0,189;0,063;1;33,595;13601,1;73856;14,3;0,99;1,2376437
16100;64404;197;1,07288;0,6;0,4;0,189;0,063;1;33,595;13671,1;74240;14;0,99;1,2402664
16200;64804;197;1,11382;0,6;0,4;0,189;0,063;1;33,595;13706,6;74624;14,2;0,99;1,2417149
16300;65204;198;1,12152;0,6;0,4;0,189;0,063;1;33,595;13793,7;75136;13,7;0,99;1,243446
16400;65604;200;1,06909;0,6;0,4;0,189;0,063;1;33,595;13816,4;75520;12;0,99;1,2453675
16500;66004;201;1,01702;0,6;0,4;0,189;0,063;1;33,595;13822,4;75904;12,1;0,99;1,2476669
16600;66404;202;1,18104;0,6;0,4;0,189;0,063;1;33,595;13882,5;76288;13,6;0,99;1,2489934
16700;66804;203;1,04254;0,6;0,4;0,189;0,063;1;33,595;13896,9;76672;13,4;0,99;1,2505093
16800;67204;204;1,14527;0,6;0,4;0,189;0,063;1;33,595;13933,2;77056;13,1;0,99;1,2519575
16900;67604;205;1,07137;0,6;0,4;0,189;0,063;1;33,595;13958,6;77440;12,4;0,99;1,2523165
17000;68004;206;1,13206;0,6;0,4;0,189;0,063;1;33,595;13994,1;77824;13,8;0,99;1,2531439
17100;68404;207;1,02851;0,6;0,4;0,189;0,063;1;33,595;14050;78336;12,9;0,99;1,2529315
