game;len;score1;score2;score3;score4;fr;lenma
15300;763;2560;2227,8;1340;4600;0;815,1
15310;847;2280;2223,4;1340;4600;0;815,9
15320;677;2200;2199,6;1340;4600;0;804,6
15330;833;3040;2188,9;1340;4590;0;800,6
15340;959;2430;2180,8;1340;3270;0;808,4
15350;825;1980;2201,3;1340;5290;0;808,1
15360;713;1930;2185,8;1340;5290;0;809,9
15370;723;1930;2196,3;1340;5290;0;804,9
15380;903;1850;2203,6;1590;5290;0;805,7
15390;673;1550;2205,7;1550;5290;0;800,1
15400;1037;2250;2199,9;1550;5290;0;803,5
15410;673;2230;2228,5;1550;5290;0;786,8
15420;847;1970;2256,6;1550;5290;0;792,9
15430;787;3060;2249,3;1550;5290;0;798,9
15440;1039;2140;2241,5;1550;5290;0;812,5
15450;521;1720;2213,2;1550;4290;0;793,6
15460;781;2450;2241;1550;4290;0;787,8
15470;751;2130;2240,6;1550;4290;0;793,8
15480;947;2730;2245,9;1550;4290;0;804,8
15490;691;1890;2220,5;1590;4290;0;799,5
15500;911;1760;2229;1590;4290;0;806,9
15510;875;2290;2211,6;1590;4290;0;808,3
15520;533;1870;2218,2;1590;4050;0;801,1
15530;891;2960;2243,8;1590;4050;0;804
15540;825;1800;2241,8;1590;4050;0;797,3
15550;847;2920;2260,2;1590;4050;0;798,4
15560;843;3160;2296;1590;4050;0;804,9
15570;621;1720;2329,9;1600;4360;0;799,8
15580;783;2180;2337,2;1600;4360;0;793,8
15590;669;1600;2336,7;1600;4360;0;793,6
15600;743;2190;2346,4;1540;4360;0;778,9
15610;563;1700;2340,6;1530;4360;0;773,4
15620;699;1690;2326,6;1530;4360;0;766
15630;873;1890;2302,1;1530;4360;0;770,3
15640;855;2120;2312,2;1530;4360;0;761,1
15650;613;1770;2309,3;1530;4360;0;765,7
15660;813;2400;2261,2;1530;4360;0;767,3
15670;763;1910;2259,6;1530;4590;0;767,9
15680;705;2440;2284,4;1530;4670;0;755,8
15690;717;2800;2324,4;1530;4670;0;757,1
15700;897;2060;2316,7;1530;4670;0;756,4
15710;823;2340;2328,2;1540;4670;0;753,8
15720;791;2480;2329;1540;4670;0;766,7
15730;631;1670;2321,2;1540;4670;0;753,7
15740;743;2360;2319;1540;4670;0;749,6
15750;827;2420;2319,1;1580;4670;0;748,6
15760;1085;1790;2318;1580;4670;0;760,7
15770;1089;3860;2322;1530;4670;0;784,1
15780;1187;2160;2284,7;1530;3860;0;804,3
15790;419;1380;2254,9;1380;3860;0;791,8
15800;925;2470;2264;1380;3860;0;800,9
15810;617;2060;2275,4;1380;3860;0;803,6
15820;685;1530;2281,6;1380;3860;0;802,9
15830;695;2020;2291,6;1380;3860;0;794
15840;891;1940;2278,9;1330;3860;0;795,8
15850;825;2510;2281,4;1330;3860;0;806,4
15860;847;2330;2301,9;1330;3860;0;808,1
15870;703;1770;2273,8;1330;3440;0;805,1
15880;921;2120;2259,2;1330;3370;0;815,9
15890;803;2750;2267,8;1330;3370;0;820,2
15900;767;2050;2271,9;1330;3370;0;813,7
15910;625;2290;2265;1330;3300;0;803,8
15920;815;1860;2275,1;1330;3300;0;805
15930;789;2970;2289,4;1330;3300;0;812,9
15940;711;1840;2333,8;1520;4610;0;811,3
15950;943;1970;2348,8;1520;4610;0;817,1
15960;707;2090;2351,4;1170;4610;0;798,2
15970;789;2370;2351;1170;4610;0;783,2
15980;895;2540;2387,2;1170;4610;0;768,6
15990;945;2300;2384,1;1170;4610;0;794,9
16000;697;1700;2349,5;1170;4610;0;783,5
16010;901;2500;2368,8;1170;4610;0;797,7
16020;673;2190;2358,3;1170;4610;0;797,1
16030;937;1940;2339,7;1170;4610;0;809,2
16040;741;2090;2311,8;1170;4180;0;801,7
16050;695;1890;2267,6;1170;4180;0;795,2
16060;885;3610;2272,2;1150;4530;0;797,1
16070;693;1840;2291,3;1150;4530;0;796,6
16080;945;2160;2273;1150;4530;0;797,8
16090;951;3130;2287,1;1150;4530;0;805,2
16100;859;2840;2345,2;1150;4770;0;809,8
16110;969;2800;2362,6;1150;4770;0;827
16120;865;1910;2350,3;1150;4770;0;829,5
16130;855;2830;2389,2;1150;4770;0;832,8
16140;1055;3330;2405,2;1150;4770;0;850
16150;835;2430;2468,7;1150;4770;0;844,6
16160;1235;2360;2500,4;1240;4770;0;871
16170;1231;3750;2529,6;1240;4770;0;893,1
16180;917;2510;2571,5;1240;4770;0;894,2
16190;1081;4450;2605,4;1240;4770;0;901
16200;793;1890;2576,5;1240;4450;0;905,8
16210;1015;2490;2577,4;1240;4450;0;911,5
16220;823;1930;2637;1240;4450;0;919
16230;787;3250;2632,2;1540;4450;0;911,5
16240;1117;2450;2661,5;1540;4450;0;930,3
16250;847;3460;2664,6;1540;4450;0;937,9
16260;839;2610;2628,1;1540;4450;0;935,6
16270;847;2200;2599,5;1540;4450;0;943,3
16280;1043;2350;2567,2;1540;4450;0;948,2
16290;911;3530;2527,9;1450;3960;0;946,2
16300;961;2240;2529,8;1450;3960;0;951,3
16310;1205;3660;2530,6;1450;3960;0;963,1
16320;817;2460;2487,8;1450;3960;0;960,7
16330;983;3950;2477,2;1450;3960;0;967,1
16340;881;2020;2442,3;1450;3960;0;958,4
16350;821;3710;2434,2;1450;3950;0;957,7
16360;779;2210;2467,5;1450;3950;0;934,9
16370;789;2490;2463,3;1450;3950;0;912,8
16380;755;1950;2481,7;1450;3950;0;904,7
16390;915;2850;2497,9;1580;3950;0;896,4
16400;1027;2800;2513,8;1580;3950;0;908,1
16410;1031;2340;2493,7;1580;3950;0;908,9
16420;839;2380;2493,8;1580;3950;0;909,7
16430;1017;2030;2494,2;1610;3880;0;921,2
16440;777;3350;2505,4;1610;3880;0;904,2
16450;743;2030;2501,6;1610;4040;0;899
16460;867;2420;2510,9;1610;4040;0;900,4
16470;1229;2350;2529,1;1610;5050;0;919,5
16480;813;2030;2516,8;1610;5050;0;908
16490;1239;3070;2520,1;1610;5050;0;924,4
16500;963;2340;2509,2;1610;5050;0;924,5
16510;945;2550;2518,6;1610;5050;0;911,5
16520;775;1510;2530,4;1510;5050;0;909,4
16530;865;3020;2545,1;1510;5050;0;903,5
16540;933;2850;2558,6;1510;5050;0;906,1
16550;919;2610;2571,7;1510;5050;0;911
16560;783;3270;2564,1;1510;5050;0;911,2
16570;697;3110;2551;1510;4540;0;906,6
16580;775;2270;2557,2;1510;4540;0;907,6
16590;927;2520;2569,8;1510;4540;0;908,2
16600;739;3140;2603,2;1510;4540;0;893,8
16610;723;2300;2602,4;1510;4540;0;878,4
16620;981;2870;2619,1;1800;4540;0;885,5
16630;1107;3450;2607,3;1800;4540;0;890
16640;761;2300;2595,7;1770;4540;0;889,2
16650;801;2050;2574,2;1770;4160;0;892,1
16660;879;3140;2555,7;1770;4160;0;892,7
16670;1025;3050;2594;1770;4800;0;882,5
16680;723;2620;2609,8;1770;4800;0;878
16690;905;3330;2609,8;1770;4800;0;861,3
16700;777;2190;2570,3;1770;4800;0;852
16710;981;2920;2575;1770;4800;0;853,8
16720;799;2320;2562;1770;4800;0;855
16730;977;2450;2546,8;1760;4800;0;860,6
16740;681;2050;2535,3;1760;4800;0;848
16750;777;2000;2560,3;1760;4800;0;840,9
16760;841;2420;2565,3;1760;4800;0;843,8
16770;727;2640;2532,6;1760;4460;0;845,3
16780;849;2730;2539,4;1760;4460;0;849
16790;897;2650;2528,3;1760;4460;0;847,5
16800;1105;2570;2537,4;1760;4460;0;865,8
